Fitur,Importance
PctExtHyperlinks,0.07465907831913265
google_index,0.06170945912534667
PctExtNullSelfRedirectHyperlinksRT,0.05997641069463101
page_rank,0.03828887215462587
nb_hyperlinks,0.03673894983570322
PctNullSelfRedirectHyperlinks,0.03434359831602506
PctExtResourceUrls,0.03426730560068198
web_traffic,0.03284789340715238
FrequentDomainNameMismatch,0.03141722025738054
NumDash,0.02517241299617947
NumNumericChars,0.019146345786309287
nb_www,0.01895544479192277
domain_age,0.01768540498359247
ExtMetaScriptLinkRT,0.016451432756719966
SubmitInfoToEmail,0.014724688948891656
ratio_intHyperlinks,0.014479333555724701
phish_hints,0.014431572438051236
PathLevel,0.014212044594182616
longest_word_path,0.013967972575575811
InsecureForms,0.013705443694967399
ratio_extHyperlinks,0.013551155885145721
NumDots,0.013234700624339301
ratio_digits_url,0.012607706373386906
PathLength,0.012459177681135728
UrlLength,0.011899717417611644
longest_words_raw,0.0112542119520103
length_url,0.011159794843193531
safe_anchor,0.011073286598113165
shortest_word_host,0.010813969474835457
length_hostname,0.010623020091653146
length_words_raw,0.010013779665343283
avg_word_path,0.009799094723674245
ratio_extRedirection,0.009768228008460611
char_repeat,0.009374082504374793
nb_dots,0.0090651683500794
QueryLength,0.00897171897229898
domain_registration_length,0.008720211426165718
IframeOrFrame,0.008489787461417087
ratio_digits_host,0.008384460512445355
links_in_tags,0.00831225158027301
HostnameLength,0.008276330526079307
avg_word_host,0.008232422433560345
nb_slash,0.008032176375444832
NumQueryComponents,0.007920788599815798
avg_words_raw,0.007475692469489433
longest_word_host,0.007443509738431716
NumSensitiveWords,0.007264035656075614
ip,0.0067366582218786435
domain_in_title,0.0062462500784095775
shortest_words_raw,0.006203238249509309
PctExtResourceUrlsRT,0.005909422831179552
shortest_word_path,0.005770474641628974
ExtFavicon,0.005682318792210137
nb_hyphens,0.005240342192926923
nb_qm,0.004923548236389356
ratio_intMedia,0.004733709988763149
ratio_extMedia,0.004623504849593878
nb_subdomains,0.004542848535714635
ratio_extErrors,0.004356377793409123
domain_with_copyright,0.004182182408277176
nb_eq,0.00408950843172295
AbnormalExtFormActionR,0.003940097680656846
NumUnderscore,0.0038392246432377825
NumAmpersand,0.0036458396342404576
NumDashInHostname,0.0034590068647481205
SubdomainLevel,0.003385865092605777
UrlLengthRT,0.003070897412511811
RelativeFormAction,0.0026866152963245754
nb_redirection,0.002625979168232012
nb_extCSS,0.002580198252644102
RandomString,0.0024058295368497
DomainInPaths,0.002288894344915206
empty_title,0.0022487742199147984
domain_in_brand,0.0020295813275261363
https_token,0.002016569846424553
prefix_suffix,0.0019623259704997596
NoHttps,0.0018841772676970983
SubdomainLevelRT,0.0018755069633430085
nb_underscore,0.0018439534535949402
IpAddress,0.0017087184672640394
external_favicon,0.0016170404608188927
EmbeddedBrandName,0.0015063945354386137
ExtFormAction,0.0014081561542872993
shortening_service,0.0013997656356367016
nb_and,0.0013871067825504484
MissingTitle,0.0013625186456201759
NumPercent,0.0013279090698125864
DomainInSubdomains,0.0010370755623028245
AbnormalFormAction,0.0010237453376320833
dns_record,0.0009895956213635886
nb_com,0.0009025239056163348
nb_percent,0.0008568492850710472
nb_colon,0.0007907948094719419
login_form,0.0007772531302396421
RightClickDisabled,0.0007518531785201401
statistical_report,0.0007128428426731376
whois_registered_domain,0.0006956591991563021
random_domain,0.0006610040004461777
nb_space,0.0006478019242280264
suspecious_tld,0.000637210673803198
ImagesOnlyInForm,0.0006244596009345564
tld_in_subdomain,0.0005651309514123402
TildeSymbol,0.0005309847329243515
nb_at,0.0005010938276244028
http_in_path,0.0004976402348662246
tld_in_path,0.0004116160444255195
abnormal_subdomain,0.00039710896882530174
nb_semicolumn,0.00025968233347318354
NumHash,0.00018229797108665718
PopUpWindow,0.0001720370347983261
brand_in_path,0.00016886126864644352
FakeLinkInStatusBar,0.00015376240648915594
nb_dslash,0.0001462266005997238
popup_window,0.0001310533785655136
nb_tilde,0.00012995039497332148
port,0.00012184066192163027
DoubleSlashInPath,7.05538415267935e-05
iframe,6.583460023497935e-05
brand_in_subdomain,6.465296705220712e-05
right_clic,4.315574895675784e-05
nb_comma,4.189785137939451e-05
AtSymbol,3.82225703459151e-05
onmouseover,1.7460723207065427e-05
nb_external_redirection,1.6391751499450284e-05
nb_star,7.113232952416191e-06
nb_dollar,4.228076233920355e-06
punycode,3.835638100315268e-06
path_extension,3.59759768454155e-10
HttpsInHostname,0.0
